Symbol	Decimal Value	Hex Code	Character name	General category	Character Notes	Unicode block	GraphoSemanticDescription	Latin_Look-Alike_Translit	Latin_Function-Alike_Translit	Canonical combining classes	Bidirectional category	Character decomposition mapping	Decimal digit value	Digit value		Numeric value	Mirrored	Unicode 1.0 Name	Uppercase mapping	Lowercase mapping	Titlecase mapping	Open bracket	Close Bracket	Canonical decomposition	Canonical decomp hex, via Java (only listed if different from original character)	UnicodeBlocks in decomp hex			
		0000	<control>	Cc						0	BN					N	NULL												
		0001	<control>	Cc						0	BN					N	START OF HEADING												
		0002	<control>	Cc						0	BN					N	START OF TEXT												
		0003	<control>	Cc						0	BN					N	END OF TEXT												
		0004	<control>	Cc						0	BN					N	END OF TRANSMISSION												
		0005	<control>	Cc						0	BN					N	ENQUIRY												
		0006	<control>	Cc						0	BN					N	ACKNOWLEDGE												
		0007	<control>	Cc						0	BN					N	BELL												
		0008	<control>	Cc						0	BN					N	BACKSPACE												
		0009	<control>	Cc						0	S					N	CHARACTER TABULATION												
		000A	<control>	Cc						0	B					N	LINE FEED (LF)												
		000B	<control>	Cc						0	S					N	LINE TABULATION												
		000C	<control>	Cc						0	WS					N	FORM FEED (FF)												
		000D	<control>	Cc						0	B					N	CARRIAGE RETURN (CR)												
		000E	<control>	Cc						0	BN					N	SHIFT OUT												
		000F	<control>	Cc						0	BN					N	SHIFT IN												
		0010	<control>	Cc						0	BN					N	DATA LINK ESCAPE												
		0011	<control>	Cc						0	BN					N	DEVICE CONTROL ONE												
		0012	<control>	Cc						0	BN					N	DEVICE CONTROL TWO												
		0013	<control>	Cc						0	BN					N	DEVICE CONTROL THREE												
		0014	<control>	Cc						0	BN					N	DEVICE CONTROL FOUR												
		0015	<control>	Cc						0	BN					N	NEGATIVE ACKNOWLEDGE												
		0016	<control>	Cc						0	BN					N	SYNCHRONOUS IDLE												
		0017	<control>	Cc						0	BN					N	END OF TRANSMISSION BLOCK												
		0018	<control>	Cc						0	BN					N	CANCEL												
		0019	<control>	Cc						0	BN					N	END OF MEDIUM												
		001A	<control>	Cc						0	BN					N	SUBSTITUTE												
		001B	<control>	Cc						0	BN					N	ESCAPE												
		001C	<control>	Cc						0	B					N	INFORMATION SEPARATOR FOUR												
		001D	<control>	Cc						0	B					N	INFORMATION SEPARATOR THREE												
		001E	<control>	Cc						0	B					N	INFORMATION SEPARATOR TWO												
		001F	<control>	Cc						0	S					N	INFORMATION SEPARATOR ONE												
		0020	SPACE	Zs			space			0	WS					N													
		00A0	NO-BREAK SPACE	Zs			space			0	CS	<noBreak> 0020				N	NON-BREAKING SPACE												
